original_met_name,llm_queries,chosen_kegg_cpd,confidence,mapping_score,evidence_line,n_reactions,n_enzymes,n_pathways
3-methylglutaconate,3-methylglutaconate; methylglutaconate; 3-methylglutaconic acid,,low,0.0,,0,0,0
5-(galactosylhydroxy)-lysine,5-(galactosylhydroxy)-lysine; (galactosylhydroxy)-lysine,,low,0.0,,0,0,0
cysteinylglycine disulfide*,cysteinylglycine disulfide*; cysteinylglycine disulfide,,low,0.0,,0,0,0
2-arachidonoyl-GPI (20:4)*,2-arachidonoyl-gpi (20:4)*; 2-arachidonoyl-gpi (20:4); arachidonoyl-gpi (20:4)*,,low,0.0,,0,0,0
isoursodeoxycholate,isoursodeoxycholate; isoursodeoxycholic acid,cpd:C17662,low,1.0,"Query 'isoursodeoxycholate' -> cpd:C17662: Isoursodeoxycholate; Isoursodeoxycholic acid; 3beta,7beta-Dihydroxy-5beta-cholanoic acid; 3beta,7bet",0,0,1
formiminoglutamate,formiminoglutamate; formiminoglutamic acid,,low,0.0,,0,0,0
hydantoin-5-propionate,hydantoin-5-propionate; hydantoin-propionate; hydantoin-5-propionic acid,cpd:C05565,low,1.0,Query 'hydantoin-5-propionate' -> cpd:C05565: Hydantoin-5-propionate; Hydantoin-propionate,2,1,1
4-hydroxyglutamate,4-hydroxyglutamate; hydroxyglutamate; 4-hydroxyglutamic acid,cpd:C05938,low,0.7,Query '4-hydroxyglutamate' -> cpd:C05938: L-4-Hydroxyglutamate semialdehyde,2,1,2
L-urobilin,l-urobilin; urobilin,cpd:C05793,low,1.0,Query 'l-urobilin' -> cpd:C05793: L-Urobilin; L-Stercobilin; Stercobilin,1,0,1
pantoate,pantoate; pantoic acid,cpd:C00522,low,0.9,Query 'pantoate' -> cpd:C00522: (R)-Pantoate; Pantoate; Pantoic acid,6,6,4
S-methylcysteine,s-methylcysteine; methylcysteine,,low,0.0,,0,0,0
androsterone glucuronide,androsterone glucuronide,cpd:C11135,low,1.0,Query 'androsterone glucuronide' -> cpd:C11135: Androsterone glucuronide; Androsterone 3-glucuronide,1,1,2
argininate*,argininate*; argininate; argininic acid*,,low,0.0,,0,0,0
2-oxoarginine*,2-oxoarginine*; 2-oxoarginine; oxoarginine*,cpd:C03771,low,0.9,Query '2-oxoarginine' -> cpd:C03771: 5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guan,12,9,3
cis-4-decenoate (10:1n6)*,cis-4-decenoate (10:1n6)*; 4-decenoate (10:1n6)*; cis-4-decenoate (10:1n6); cis-decenoate (10:1n6)*; cis-4-decenoic acid (10:1n6)*,,low,0.0,,0,0,0
leukotriene B5,leukotriene b5,,low,0.0,,0,0,0
4-oxo-retinoic acid,4-oxo-retinoic acid; oxo-retinoic acid,,low,0.0,,0,0,0
1-meadoyl-GPC (20:3n9)*,1-meadoyl-gpc (20:3n9)*; 1-meadoyl-gpc (20:3n9); meadoyl-gpc (20:3n9)*,,low,0.0,,0,0,0
1-behenoyl-GPC (22:0),1-behenoyl-gpc (22:0); behenoyl-gpc (22:0),,low,0.0,,0,0,0
1-adrenoyl-GPC (22:4)*,1-adrenoyl-gpc (22:4)*; 1-adrenoyl-gpc (22:4); adrenoyl-gpc (22:4)*,,low,0.0,,0,0,0
1-lignoceroyl-GPC (24:0),1-lignoceroyl-gpc (24:0); lignoceroyl-gpc (24:0),,low,0.0,,0,0,0
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,1-(1-enyl-palmitoyl)-gpc (p-16:0)*; 1-(1-enyl-palmitoyl)-gpc (p-16:0); (enyl-palmitoyl)-gpc (p-16:0)*,,low,0.0,,0,0,0
1-(1-enyl-oleoyl)-GPC (P-18:1)*,1-(1-enyl-oleoyl)-gpc (p-18:1)*; 1-(1-enyl-oleoyl)-gpc (p-18:1); (enyl-oleoyl)-gpc (p-18:1)*,,low,0.0,,0,0,0
1-(1-enyl-stearoyl)-GPC (P-18:0)*,1-(1-enyl-stearoyl)-gpc (p-18:0)*; 1-(1-enyl-stearoyl)-gpc (p-18:0); (enyl-stearoyl)-gpc (p-18:0)*,,low,0.0,,0,0,0
1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate; methyl-imidazoleacetate; 1-methyl-5-imidazoleacetic acid,,low,0.0,,0,0,0
glycoursodeoxycholate,glycoursodeoxycholate; glycoursodeoxycholic acid,,low,0.0,,0,0,0
tauroursodeoxycholate,tauroursodeoxycholate; tauroursodeoxycholic acid,cpd:C16868,low,1.0,"Query 'tauroursodeoxycholic acid' -> cpd:C16868: Tauroursodeoxycholic acid; N-(3alpha,7beta-Dihydroxy-5beta-cholan-24-oyl)-taurine",0,0,0
ursocholate,ursocholate; ursocholic acid,cpd:C17644,low,1.0,"Query 'ursocholate' -> cpd:C17644: Ursocholate; Ursocholic acid; 3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid; 3alpha,7beta",0,0,1
S-methylcysteine sulfoxide,s-methylcysteine sulfoxide; methylcysteine sulfoxide,,low,0.0,,0,0,0
(14 or 15)-methylpalmitate (a17:0 or i17:0),(14 or 15)-methylpalmitate (a17:0 or i17:0); (14 or 15)-methylpalmitic acid (a17:0 or i17:0),,low,0.0,,0,0,0
eicosanedioate (C20-DC),eicosanedioate (c20-dc); eicosanedioate (cdc); eicosanedioic acid (c20-dc),,low,0.0,,0,0,0
docosadioate (C22-DC),docosadioate (c22-dc); docosadioate (cdc); docosadioic acid (c22-dc),,low,0.0,,0,0,0
16-hydroxypalmitate,16-hydroxypalmitate; hydroxypalmitate; 16-hydroxypalmitic acid,cpd:C18218,low,1.0,Query '16-hydroxypalmitate' -> cpd:C18218: 16-Hydroxypalmitate; 16-Hydroxypalmitic acid; 16-Hydroxyhexadecanoic acid; Juniperic acid,4,2,2
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],oleoyl-linoleoyl-glycerol (18:1/18:2) [1]; oleoyl-linoleoyl-glycerol (18:1/18:2),,low,0.0,,0,0,0
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],oleoyl-linoleoyl-glycerol (18:1/18:2) [2]; oleoyl-linoleoyl-glycerol (18:1/18:2),,low,0.0,,0,0,0
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1-(1-enyl-palmitoyl)-gpe (p-16:0)*; 1-(1-enyl-palmitoyl)-gpe (p-16:0); (enyl-palmitoyl)-gpe (p-16:0)*,,low,0.0,,0,0,0
1-(1-enyl-stearoyl)-GPE (P-18:0)*,1-(1-enyl-stearoyl)-gpe (p-18:0)*; 1-(1-enyl-stearoyl)-gpe (p-18:0); (enyl-stearoyl)-gpe (p-18:0)*,,low,0.0,,0,0,0
2-stearoyl-GPI (18:0)*,2-stearoyl-gpi (18:0)*; 2-stearoyl-gpi (18:0); stearoyl-gpi (18:0)*,,low,0.0,,0,0,0
alpha-CEHC glucuronide*,alpha-cehc glucuronide*; cehc glucuronide*; alpha-cehc glucuronide,,low,0.0,,0,0,0
N-oleoyltaurine,n-oleoyltaurine; oleoyltaurine,,low,0.0,,0,0,0
linoleoylcarnitine (C18:2)*,linoleoylcarnitine (c18:2)*; linoleoylcarnitine (c18:2),,low,0.0,,0,0,0
isoleucylglycine,isoleucylglycine,,low,0.0,,0,0,0
leucylalanine,leucylalanine,,low,0.0,,0,0,0
leucylglycine,leucylglycine,,low,0.0,,0,0,0
valylleucine,valylleucine,,low,0.0,,0,0,0
N-palmitoyltaurine,n-palmitoyltaurine; palmitoyltaurine,,low,0.0,,0,0,0
N-stearoyltaurine,n-stearoyltaurine; stearoyltaurine,,low,0.0,,0,0,0
2-O-methylascorbic acid,2-o-methylascorbic acid; o-methylascorbic acid,,low,0.0,,0,0,0
carboxyethyl-GABA,carboxyethyl-gaba,,low,0.0,,0,0,0
beta-citrylglutamate,beta-citrylglutamate; citrylglutamate; beta-citrylglutamic acid,cpd:C20775,low,0.9,Query 'beta-citrylglutamate' -> cpd:C20775: beta-Citryl-L-glutamate; beta-Citrylglutamate,1,1,2
trimethylamine N-oxide,trimethylamine n-oxide,cpd:C01104,low,1.0,Query 'trimethylamine n-oxide' -> cpd:C01104: Trimethylamine N-oxide; (CH3)3NO,3,3,4
N6-methyllysine,n6-methyllysine; nmethyllysine,,low,0.0,,0,0,0
imidazole propionate,imidazole propionate; imidazole propionic acid,cpd:C00135,low,0.1,Query 'imidazole propionic acid' -> cpd:C00135: L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid,20,12,14
pregnanediol-3-glucuronide,pregnanediol-3-glucuronide; pregnanediol-glucuronide,,low,0.0,,0,0,0
histidylalanine,histidylalanine,,low,0.0,,0,0,0
phenylalanylglycine,phenylalanylglycine,,low,0.0,,0,0,0
valylglycine,valylglycine,,low,0.0,,0,0,0
prolylglycine,prolylglycine,,low,0.0,,0,0,0
prolylproline,prolylproline,,low,0.0,,0,0,0
N-palmitoylglycine,n-palmitoylglycine; palmitoylglycine,,low,0.0,,0,0,0
lanthionine,lanthionine,cpd:C22954,low,0.7,Query 'lanthionine' -> cpd:C22954: [Protein] with lanthionine crosslink,2,1,0
2-stearoyl-GPE (18:0)*,2-stearoyl-gpe (18:0)*; 2-stearoyl-gpe (18:0); stearoyl-gpe (18:0)*,,low,0.0,,0,0,0
palmitamide (16:0),palmitamide (16:0),,low,0.0,,0,0,0
(R)-3-hydroxybutyrylcarnitine,(r)-3-hydroxybutyrylcarnitine; (r)-hydroxybutyrylcarnitine,,low,0.0,,0,0,0
5-hydroxymethyl-2-furoic acid,5-hydroxymethyl-2-furoic acid; hydroxymethyl-furoic acid,cpd:C20448,low,0.9,Query '5-hydroxymethyl-2-furoic acid' -> cpd:C20448: 5-Hydroxymethyl-2-furoate; 5-Hydroxymethyl-2-furoic acid,1,0,0
N-acetylcarnosine,n-acetylcarnosine; acetylcarnosine,,low,0.0,,0,0,0
margaroylcarnitine (C17)*,margaroylcarnitine (c17)*; margaroylcarnitine (c17),,low,0.0,,0,0,0
N-methyltaurine,n-methyltaurine; methyltaurine,,low,0.0,,0,0,0
glycohyocholate,glycohyocholate; glycohyocholic acid,,low,0.0,,0,0,0
2-hydroxydecanoate,2-hydroxydecanoate; hydroxydecanoate; 2-hydroxydecanoic acid,cpd:C02774,low,0.5,Query 'hydroxydecanoate' -> cpd:C02774: 10-Hydroxydecanoic acid; 10-Hydroxydecanoate,1,1,0
5-hydroxydecanoate,5-hydroxydecanoate; hydroxydecanoate; 5-hydroxydecanoic acid,cpd:C02774,low,0.5,Query 'hydroxydecanoate' -> cpd:C02774: 10-Hydroxydecanoic acid; 10-Hydroxydecanoate,1,1,0
3beta-hydroxy-5-cholenoate,3beta-hydroxy-5-cholenoate; 3beta-hydroxy-cholenoate; 3beta-hydroxy-5-cholenoic acid,,low,0.0,,0,0,0
2-aminooctanoate,2-aminooctanoate; aminooctanoate; 2-aminooctanoic acid,,low,0.0,,0,0,0
gamma-CEHC glucuronide*,gamma-cehc glucuronide*; cehc glucuronide*; gamma-cehc glucuronide,,low,0.0,,0,0,0
N-acetyl-1-methylhistidine*,n-acetyl-1-methylhistidine*; acetyl-1-methylhistidine*; n-acetyl-1-methylhistidine; n-acetyl-methylhistidine*,,low,0.0,,0,0,0
"sphingomyelin (d18:1/14:0, d16:1/16:0)*","sphingomyelin (d18:1/14:0, d16:1/16:0)*; sphingomyelin (d18:1/14:0, d16:1/16:0)",,low,0.0,,0,0,0
"sphingomyelin (d18:2/16:0, d18:1/16:1)*","sphingomyelin (d18:2/16:0, d18:1/16:1)*; sphingomyelin (d18:2/16:0, d18:1/16:1)",,low,0.0,,0,0,0
3-hydroxyadipate,3-hydroxyadipate; hydroxyadipate; 3-hydroxyadipic acid,cpd:C02360,low,0.7,Query 'hydroxyadipate' -> cpd:C02360: 2-Hydroxyadipate; 2-Hydroxyadipic acid; 2-Hydroxyhexanedioic acid,1,1,0
1-arachidonoyl-GPA (20:4),1-arachidonoyl-gpa (20:4); arachidonoyl-gpa (20:4),,low,0.0,,0,0,0
6-oxopiperidine-2-carboxylate,6-oxopiperidine-2-carboxylate; oxopiperidine-carboxylate; 6-oxopiperidine-2-carboxylic acid,,low,0.0,,0,0,0
N-delta-acetylornithine,n-delta-acetylornithine; delta-acetylornithine,,low,0.0,,0,0,0
acisoga,acisoga,,low,0.0,,0,0,0
2-aminoheptanoate,2-aminoheptanoate; aminoheptanoate; 2-aminoheptanoic acid,,low,0.0,,0,0,0
1-eicosapentaenoyl-GPE (20:5)*,1-eicosapentaenoyl-gpe (20:5)*; 1-eicosapentaenoyl-gpe (20:5); eicosapentaenoyl-gpe (20:5)*,,low,0.0,,0,0,0
N-formylanthranilic acid,n-formylanthranilic acid; formylanthranilic acid,,low,0.0,,0,0,0
"N2,N5-diacetylornithine","n2,n5-diacetylornithine; n2,ndiacetylornithine",,low,0.0,,0,0,0
methionine sulfone,methionine sulfone,,low,0.0,,0,0,0
1-linolenoyl-GPC (18:3)*,1-linolenoyl-gpc (18:3)*; 1-linolenoyl-gpc (18:3); linolenoyl-gpc (18:3)*,,low,0.0,,0,0,0
1-eicosapentaenoyl-GPC (20:5)*,1-eicosapentaenoyl-gpc (20:5)*; 1-eicosapentaenoyl-gpc (20:5); eicosapentaenoyl-gpc (20:5)*,,low,0.0,,0,0,0
1-eicosenoyl-GPC (20:1)*,1-eicosenoyl-gpc (20:1)*; 1-eicosenoyl-gpc (20:1); eicosenoyl-gpc (20:1)*,,low,0.0,,0,0,0
1-nonadecanoyl-GPC (19:0),1-nonadecanoyl-gpc (19:0); nonadecanoyl-gpc (19:0),,low,0.0,,0,0,0
1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,1-dihomo-linolenoyl-gpe (20:3n3 or 6)*; 1-dihomo-linolenoyl-gpe (20:3n3 or 6); dihomo-linolenoyl-gpe (20:3n3 or 6)*,,low,0.0,,0,0,0
1-(1-enyl-oleoyl)-GPE (P-18:1)*,1-(1-enyl-oleoyl)-gpe (p-18:1)*; 1-(1-enyl-oleoyl)-gpe (p-18:1); (enyl-oleoyl)-gpe (p-18:1)*,,low,0.0,,0,0,0
fructosyllysine,fructosyllysine,,low,0.0,,0,0,0
1-eicosenoyl-GPE (20:1)*,1-eicosenoyl-gpe (20:1)*; 1-eicosenoyl-gpe (20:1); eicosenoyl-gpe (20:1)*,,low,0.0,,0,0,0
"5alpha-androstan-3alpha,17beta-diol 17-glucuronide","5alpha-androstan-3alpha,17beta-diol 17-glucuronide; 5alpha-androstan-3alpha,17beta-diol glucuronide",,low,0.0,,0,0,0
11-ketoetiocholanolone glucuronide,11-ketoetiocholanolone glucuronide; ketoetiocholanolone glucuronide,,low,0.0,,0,0,0
etiocholanolone glucuronide,etiocholanolone glucuronide,,low,0.0,,0,0,0
17alpha-hydroxypregnanolone glucuronide,17alpha-hydroxypregnanolone glucuronide,,low,0.0,,0,0,0
N-acetyltaurine,n-acetyltaurine; acetyltaurine,,low,0.0,,0,0,0
1-linolenoyl-GPE (18:3)*,1-linolenoyl-gpe (18:3)*; 1-linolenoyl-gpe (18:3); linolenoyl-gpe (18:3)*,,low,0.0,,0,0,0
1-oleoyl-GPG (18:1)*,1-oleoyl-gpg (18:1)*; 1-oleoyl-gpg (18:1); oleoyl-gpg (18:1)*,,low,0.0,,0,0,0
1-palmitoyl-GPG (16:0)*,1-palmitoyl-gpg (16:0)*; 1-palmitoyl-gpg (16:0); palmitoyl-gpg (16:0)*,,low,0.0,,0,0,0
9-hydroxystearate,9-hydroxystearate; hydroxystearate; 9-hydroxystearic acid,cpd:C03042,low,0.7,Query 'hydroxystearate' -> cpd:C03042: (R)-2-Hydroxystearate; (R)-2-Hydroxystearic acid; (R)-2-Hydroxyoctadecanoate; (R)-2-Hydroxyoctadecan,1,1,0
3-methylglutarylcarnitine (2),3-methylglutarylcarnitine (2); 3-methylglutarylcarnitine; methylglutarylcarnitine (2),,low,0.0,,0,0,0
alpha-CEHC sulfate,alpha-cehc sulfate; cehc sulfate; alpha-cehc sulfic acid,,low,0.0,,0,0,0
alpha-CMBHC glucuronide,alpha-cmbhc glucuronide; cmbhc glucuronide,,low,0.0,,0,0,0
"sphingomyelin (d18:2/14:0, d18:1/14:1)*","sphingomyelin (d18:2/14:0, d18:1/14:1)*; sphingomyelin (d18:2/14:0, d18:1/14:1)",,low,0.0,,0,0,0
"sphingomyelin (d18:1/24:1, d18:2/24:0)*","sphingomyelin (d18:1/24:1, d18:2/24:0)*; sphingomyelin (d18:1/24:1, d18:2/24:0)",,low,0.0,,0,0,0
octadecenedioylcarnitine (C18:1-DC)*,octadecenedioylcarnitine (c18:1-dc)*; octadecenedioylcarnitine (c18:1-dc); octadecenedioylcarnitine (c18:dc)*,,low,0.0,,0,0,0
octadecanedioylcarnitine (C18-DC)*,octadecanedioylcarnitine (c18-dc)*; octadecanedioylcarnitine (c18-dc); octadecanedioylcarnitine (cdc)*,,low,0.0,,0,0,0
"5alpha-androstan-3alpha,17beta-diol monosulfate (2)","5alpha-androstan-3alpha,17beta-diol monosulfate (2); 5alpha-androstan-3alpha,17beta-diol monosulfate; 5alpha-androstan-3alpha,17beta-diol monosulfic acid (2)",,low,0.0,,0,0,0
myristoleoylcarnitine (C14:1)*,myristoleoylcarnitine (c14:1)*; myristoleoylcarnitine (c14:1),,low,0.0,,0,0,0
N-formylphenylalanine,n-formylphenylalanine; formylphenylalanine,,low,0.0,,0,0,0
cyclo(pro-val),cyclo(pro-val),,low,0.0,,0,0,0
tyramine O-sulfate,tyramine o-sulfate; tyramine o-sulfic acid,,low,0.0,,0,0,0
m-tyramine sulfate,m-tyramine sulfate; m-tyramine sulfic acid,,low,0.0,,0,0,0
phenylacetylcarnitine,phenylacetylcarnitine,,low,0.0,,0,0,0
arabonate/xylonate,arabonate/xylonate; arabonic acid/xylonic acid,,low,0.0,,0,0,0
1-dihomo-linolenylglycerol (20:3),1-dihomo-linolenylglycerol (20:3); dihomo-linolenylglycerol (20:3),,low,0.0,,0,0,0
vanillic alcohol sulfate,vanillic alcohol sulfate; vanillic alcohol sulfic acid,,low,0.0,,0,0,0
vanillactate,vanillactate; vanillactic acid,,low,0.0,,0,0,0
pregnanolone/allopregnanolone sulfate,pregnanolone/allopregnanolone sulfate; pregnanolone/allopregnanolone sulfic acid,,low,0.0,,0,0,0
p-cresol glucuronide*,p-cresol glucuronide*; p-cresol glucuronide,,low,0.0,,0,0,0
4-methoxyphenol sulfate,4-methoxyphenol sulfate; methoxyphenol sulfate; 4-methoxyphenol sulfic acid,,low,0.0,,0,0,0
"sphingomyelin (d18:1/20:0, d16:1/22:0)*","sphingomyelin (d18:1/20:0, d16:1/22:0)*; sphingomyelin (d18:1/20:0, d16:1/22:0)",,low,0.0,,0,0,0
"sphingomyelin (d18:1/20:1, d18:2/20:0)*","sphingomyelin (d18:1/20:1, d18:2/20:0)*; sphingomyelin (d18:1/20:1, d18:2/20:0)",,low,0.0,,0,0,0
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*","sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*; sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)",,low,0.0,,0,0,0
behenoyl sphingomyelin (d18:1/22:0)*,behenoyl sphingomyelin (d18:1/22:0)*; behenoyl sphingomyelin (d18:1/22:0),,low,0.0,,0,0,0
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*","sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*; sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)",,low,0.0,,0,0,0
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*","sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*; sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)",,low,0.0,,0,0,0
lignoceroyl sphingomyelin (d18:1/24:0),lignoceroyl sphingomyelin (d18:1/24:0),,low,0.0,,0,0,0
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*","sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*; sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)",,low,0.0,,0,0,0
dopamine 4-sulfate,dopamine 4-sulfate; dopamine sulfate; dopamine 4-sulfic acid,cpd:C13690,low,0.1,Query 'dopamine sulfate' -> cpd:C13690: Dopamine 3-O-sulfate; Dopamine 3-sulfate,0,0,0
dopamine 3-O-sulfate,dopamine 3-o-sulfate; dopamine o-sulfate; dopamine 3-o-sulfic acid,cpd:C13690,low,1.0,Query 'dopamine 3-o-sulfate' -> cpd:C13690: Dopamine 3-O-sulfate; Dopamine 3-sulfate,0,0,0
3-hydroxyhexanoate,3-hydroxyhexanoate; hydroxyhexanoate; 3-hydroxyhexanoic acid,cpd:C03864,low,0.7,Query '3-hydroxyhexanoate' -> cpd:C03864: Ethyl (R)-3-hydroxyhexanoate,1,1,0
N-carbamoylalanine,n-carbamoylalanine; carbamoylalanine,,low,0.0,,0,0,0
3beta-hydroxy-5-cholestenoate,3beta-hydroxy-5-cholestenoate; 3beta-hydroxy-cholestenoate; 3beta-hydroxy-5-cholestenoic acid,cpd:C17333,low,1.0,Query '3beta-hydroxy-5-cholestenoate' -> cpd:C17333: 3beta-Hydroxy-5-cholestenoate; 3beta-Hydroxycholest-5-en-27-oic acid,2,1,1
N-acetylkynurenine (2),n-acetylkynurenine (2); acetylkynurenine (2); n-acetylkynurenine,,low,0.0,,0,0,0
C-glycosyltryptophan,c-glycosyltryptophan,,low,0.0,,0,0,0
arabitol/xylitol,arabitol/xylitol,,low,0.0,,0,0,0
N-acetylglucosamine/N-acetylgalactosamine,n-acetylglucosamine/n-acetylgalactosamine; acetylglucosamine/n-acetylgalactosamine,,low,0.0,,0,0,0
citraconate/glutaconate,citraconate/glutaconate; citraconic acid/glutaconic acid,,low,0.0,,0,0,0
adipoylcarnitine (C6-DC),adipoylcarnitine (c6-dc); adipoylcarnitine (cdc),,low,0.0,,0,0,0
4-hydroxyphenylacetoylcarnitine,4-hydroxyphenylacetoylcarnitine; hydroxyphenylacetoylcarnitine,,low,0.0,,0,0,0
nonanoylcarnitine (C9),nonanoylcarnitine (c9),,low,0.0,,0,0,0
suberoylcarnitine (C8-DC),suberoylcarnitine (c8-dc); suberoylcarnitine (cdc),,low,0.0,,0,0,0
glycochenodeoxycholate 3-sulfate,glycochenodeoxycholate 3-sulfate; glycochenodeoxycholate sulfate; glycochenodeoxycholic acid 3-sulfic acid,cpd:C15559,low,0.1,Query 'glycochenodeoxycholate sulfate' -> cpd:C15559: Glycochenodeoxycholate 7-sulfate,1,1,0
glycodeoxycholate 3-sulfate,glycodeoxycholate 3-sulfate; glycodeoxycholate sulfate; glycodeoxycholic acid 3-sulfic acid,,low,0.0,,0,0,0
taurodeoxycholic acid 3-sulfate,taurodeoxycholic acid 3-sulfate; taurodeoxycholic acid sulfate,,low,0.0,,0,0,0
phenol glucuronide,phenol glucuronide,cpd:C20383,low,0.1,Query 'phenol glucuronide' -> cpd:C20383: Mycophenolic acid O-acyl-glucuronide,1,1,0
linoleoyl ethanolamide,linoleoyl ethanolamide,,low,0.0,,0,0,0
"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-gpc (18:2/18:2); 1,dilinoleoyl-gpc (18:2/18:2)",,low,0.0,,0,0,0
1-stearoyl-2-oleoyl-GPC (18:0/18:1),1-stearoyl-2-oleoyl-gpc (18:0/18:1); stearoyl-oleoyl-gpc (18:0/18:1),,low,0.0,,0,0,0
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6); palmitoyl-arachidonoyl-gpc (16:0/20:4n6),,low,0.0,,0,0,0
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6); palmitoyl-docosahexaenoyl-gpc (16:0/22:6),,low,0.0,,0,0,0
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6); stearoyl-docosahexaenoyl-gpc (18:0/22:6),,low,0.0,,0,0,0
1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),1-(1-enyl-stearoyl)-2-oleoyl-gpc (p-18:0/18:1); (enyl-stearoyl)-oleoyl-gpc (p-18:0/18:1),,low,0.0,,0,0,0
1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4),1-(1-enyl-stearoyl)-2-arachidonoyl-gpc (p-18:0/20:4); (enyl-stearoyl)-arachidonoyl-gpc (p-18:0/20:4),,low,0.0,,0,0,0
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),1-(1-enyl-stearoyl)-2-oleoyl-gpe (p-18:0/18:1); (enyl-stearoyl)-oleoyl-gpe (p-18:0/18:1),,low,0.0,,0,0,0
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",,low,0.0,,0,0,0
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1-palmitoyl-2-stearoyl-gpc (16:0/18:0); palmitoyl-stearoyl-gpc (16:0/18:0),,low,0.0,,0,0,0
2-hydroxybutyrate/2-hydroxyisobutyrate,2-hydroxybutyrate/2-hydroxyisobutyrate; hydroxybutyrate/hydroxyisobutyrate; 2-hydroxybutyric acid/2-hydroxyisobutyric acid,,low,0.0,,0,0,0
2-methylcitrate/homocitrate,2-methylcitrate/homocitrate; methylcitrate/homocitrate; 2-methylcitric acid/homocitric acid,,low,0.0,,0,0,0
oleate/vaccenate (18:1),oleate/vaccenate (18:1); oleic acid/vaccenic acid (18:1),,low,0.0,,0,0,0
indoxyl glucuronide,indoxyl glucuronide,,low,0.0,,0,0,0
3-hydroxystearate,3-hydroxystearate; hydroxystearate; 3-hydroxystearic acid,cpd:C03042,low,0.7,Query 'hydroxystearate' -> cpd:C03042: (R)-2-Hydroxystearate; (R)-2-Hydroxystearic acid; (R)-2-Hydroxyoctadecanoate; (R)-2-Hydroxyoctadecan,1,1,0
2-hydroxylaurate,2-hydroxylaurate; hydroxylaurate; 2-hydroxylauric acid,,low,0.0,,0,0,0
1-palmitoleoylglycerol (16:1)*,1-palmitoleoylglycerol (16:1)*; 1-palmitoleoylglycerol (16:1); palmitoleoylglycerol (16:1)*,,low,0.0,,0,0,0
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,palmitoyl dihydrosphingomyelin (d18:0/16:0)*; palmitoyl dihydrosphingomyelin (d18:0/16:0),,low,0.0,,0,0,0
tricosanoyl sphingomyelin (d18:1/23:0)*,tricosanoyl sphingomyelin (d18:1/23:0)*; tricosanoyl sphingomyelin (d18:1/23:0),,low,0.0,,0,0,0
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*; sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)",,low,0.0,,0,0,0
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","sphingomyelin (d18:2/24:1, d18:1/24:2)*; sphingomyelin (d18:2/24:1, d18:1/24:2)",,low,0.0,,0,0,0
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,1-stearoyl-2-linoleoyl-gpe (18:0/18:2)*; 1-stearoyl-2-linoleoyl-gpe (18:0/18:2); stearoyl-linoleoyl-gpe (18:0/18:2)*,,low,0.0,,0,0,0
